scenarioId,flow,itemId,voiceId,exposureType,implementationState,gapAssumptionMs,sequenceOrder,cueKeys,scripts,assetCount,estimatedSpeechMs,estimatedTotalMs,countdownStartsAtMs,audibleGoAtMs,budgetClass,targetMs,hardMaxMs,passesTarget,passesHardMax,notes
training-loaded-march-side-change-marcus-gap250,training,loaded-march,marcus,side_change_path,implementation_required_before_preview,250,1,ex-loaded-march-next-v21,March in place.,1,1470,1470,1470,4470,later_set_reminder,4000,6000,true,true,Not side-specific.
training-loaded-march-repeat-clara-gap0,training,loaded-march,clara,repeat_instructions,implementation_required_before_preview,0,1;2,ex-loaded-march-first-v21;target-loaded-march-v21,March in place. Stand tall near support and march with a steady rhythm.;Aim for sixteen reps.,2,6960,6960,6960,9960,repeat_instructions,10000,14000,true,true,No set count.
training-loaded-march-repeat-clara-gap100,training,loaded-march,clara,repeat_instructions,implementation_required_before_preview,100,1;2,ex-loaded-march-first-v21;target-loaded-march-v21,March in place. Stand tall near support and march with a steady rhythm.;Aim for sixteen reps.,2,6960,7060,7060,10060,repeat_instructions,10000,14000,true,true,No set count.
training-loaded-march-repeat-clara-gap250,training,loaded-march,clara,repeat_instructions,implementation_required_before_preview,250,1;2,ex-loaded-march-first-v21;target-loaded-march-v21,March in place. Stand tall near support and march with a steady rhythm.;Aim for sixteen reps.,2,6960,7210,7210,10210,repeat_instructions,10000,14000,true,true,No set count.
training-loaded-march-repeat-marcus-gap0,training,loaded-march,marcus,repeat_instructions,implementation_required_before_preview,0,1;2,ex-loaded-march-first-v21;target-loaded-march-v21,March in place. Stand tall near support and march with a steady rhythm.;Aim for sixteen reps.,2,6790,6790,6790,9790,repeat_instructions,10000,14000,true,true,No set count.
training-loaded-march-repeat-marcus-gap100,training,loaded-march,marcus,repeat_instructions,implementation_required_before_preview,100,1;2,ex-loaded-march-first-v21;target-loaded-march-v21,March in place. Stand tall near support and march with a steady rhythm.;Aim for sixteen reps.,2,6790,6890,6890,9890,repeat_instructions,10000,14000,true,true,No set count.
training-loaded-march-repeat-marcus-gap250,training,loaded-march,marcus,repeat_instructions,implementation_required_before_preview,250,1;2,ex-loaded-march-first-v21;target-loaded-march-v21,March in place. Stand tall near support and march with a steady rhythm.;Aim for sixteen reps.,2,6790,7040,7040,10040,repeat_instructions,10000,14000,true,true,No set count.
training-loaded-march-tracking-recovery-clara-gap0,training,loaded-march,clara,tracking_loss_recovery,implementation_required_before_preview,0,1;2,tracking-loss-v21;tracking-recovered-v21,Pause. Return to the setup position.;You're back in position. We'll restart.,2,5160,5160,5160,8160,tracking_loss_recovery_sequence,6500,9000,true,true,Fresh countdown follows.
training-loaded-march-tracking-recovery-clara-gap100,training,loaded-march,clara,tracking_loss_recovery,implementation_required_before_preview,100,1;2,tracking-loss-v21;tracking-recovered-v21,Pause. Return to the setup position.;You're back in position. We'll restart.,2,5160,5260,5260,8260,tracking_loss_recovery_sequence,6500,9000,true,true,Fresh countdown follows.
training-loaded-march-tracking-recovery-clara-gap250,training,loaded-march,clara,tracking_loss_recovery,implementation_required_before_preview,250,1;2,tracking-loss-v21;tracking-recovered-v21,Pause. Return to the setup position.;You're back in position. We'll restart.,2,5160,5410,5410,8410,tracking_loss_recovery_sequence,6500,9000,true,true,Fresh countdown follows.
training-loaded-march-tracking-recovery-marcus-gap0,training,loaded-march,marcus,tracking_loss_recovery,implementation_required_before_preview,0,1;2,tracking-loss-v21;tracking-recovered-v21,Pause. Return to the setup position.;You're back in position. We'll restart.,2,5040,5040,5040,8040,tracking_loss_recovery_sequence,6500,9000,true,true,Fresh countdown follows.
training-loaded-march-tracking-recovery-marcus-gap100,training,loaded-march,marcus,tracking_loss_recovery,implementation_required_before_preview,100,1;2,tracking-loss-v21;tracking-recovered-v21,Pause. Return to the setup position.;You're back in position. We'll restart.,2,5040,5140,5140,8140,tracking_loss_recovery_sequence,6500,9000,true,true,Fresh countdown follows.
training-loaded-march-tracking-recovery-marcus-gap250,training,loaded-march,marcus,tracking_loss_recovery,implementation_required_before_preview,250,1;2,tracking-loss-v21;tracking-recovered-v21,Pause. Return to the setup position.;You're back in position. We'll restart.,2,5040,5290,5290,8290,tracking_loss_recovery_sequence,6500,9000,true,true,Fresh countdown follows.
training-loaded-march-pause-resume-clara-gap0,training,loaded-march,clara,pause_resume,ready_after_audio_generation,0,1;2,paused-v21;resuming-v21,Paused.;Resuming.,2,1800,1800,1800,4800,control_confirmation,2000,3500,true,true,Controls do not replay instructions.
training-loaded-march-pause-resume-clara-gap100,training,loaded-march,clara,pause_resume,ready_after_audio_generation,100,1;2,paused-v21;resuming-v21,Paused.;Resuming.,2,1800,1900,1900,4900,control_confirmation,2000,3500,true,true,Controls do not replay instructions.
training-loaded-march-pause-resume-clara-gap250,training,loaded-march,clara,pause_resume,ready_after_audio_generation,250,1;2,paused-v21;resuming-v21,Paused.;Resuming.,2,1800,2050,2050,5050,control_confirmation,2000,3500,false,true,Controls do not replay instructions.
training-loaded-march-pause-resume-marcus-gap0,training,loaded-march,marcus,pause_resume,ready_after_audio_generation,0,1;2,paused-v21;resuming-v21,Paused.;Resuming.,2,1800,1800,1800,4800,control_confirmation,2000,3500,true,true,Controls do not replay instructions.
training-loaded-march-pause-resume-marcus-gap100,training,loaded-march,marcus,pause_resume,ready_after_audio_generation,100,1;2,paused-v21;resuming-v21,Paused.;Resuming.,2,1800,1900,1900,4900,control_confirmation,2000,3500,true,true,Controls do not replay instructions.
training-loaded-march-pause-resume-marcus-gap250,training,loaded-march,marcus,pause_resume,ready_after_audio_generation,250,1;2,paused-v21;resuming-v21,Paused.;Resuming.,2,1800,2050,2050,5050,control_confirmation,2000,3500,false,true,Controls do not replay instructions.
training-loaded-sit-to-stand-first-use-cold-clara-gap0,training,loaded-sit-to-stand,clara,first_use_cold_equipment,implementation_required_before_preview,0,1;2;3,ex-loaded-sit-to-stand-first-v21;final-position-set-v21;target-loaded-sit-to-stand-v21,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.;You're set.;Aim for eight reps.",3,9540,9540,9540,12540,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Actual pre-countdown sequence.
training-loaded-sit-to-stand-first-use-cold-clara-gap100,training,loaded-sit-to-stand,clara,first_use_cold_equipment,implementation_required_before_preview,100,1;2;3,ex-loaded-sit-to-stand-first-v21;final-position-set-v21;target-loaded-sit-to-stand-v21,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.;You're set.;Aim for eight reps.",3,9540,9740,9740,12740,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Actual pre-countdown sequence.
training-loaded-sit-to-stand-first-use-cold-clara-gap250,training,loaded-sit-to-stand,clara,first_use_cold_equipment,implementation_required_before_preview,250,1;2;3,ex-loaded-sit-to-stand-first-v21;final-position-set-v21;target-loaded-sit-to-stand-v21,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.;You're set.;Aim for eight reps.",3,9540,10040,10040,13040,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Actual pre-countdown sequence.
training-loaded-sit-to-stand-first-use-cold-marcus-gap0,training,loaded-sit-to-stand,marcus,first_use_cold_equipment,implementation_required_before_preview,0,1;2;3,ex-loaded-sit-to-stand-first-v21;final-position-set-v21;target-loaded-sit-to-stand-v21,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.;You're set.;Aim for eight reps.",3,9310,9310,9310,12310,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Actual pre-countdown sequence.
training-loaded-sit-to-stand-first-use-cold-marcus-gap100,training,loaded-sit-to-stand,marcus,first_use_cold_equipment,implementation_required_before_preview,100,1;2;3,ex-loaded-sit-to-stand-first-v21;final-position-set-v21;target-loaded-sit-to-stand-v21,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.;You're set.;Aim for eight reps.",3,9310,9510,9510,12510,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Actual pre-countdown sequence.
training-loaded-sit-to-stand-first-use-cold-marcus-gap250,training,loaded-sit-to-stand,marcus,first_use_cold_equipment,implementation_required_before_preview,250,1;2;3,ex-loaded-sit-to-stand-first-v21;final-position-set-v21;target-loaded-sit-to-stand-v21,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.;You're set.;Aim for eight reps.",3,9310,9810,9810,12810,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Actual pre-countdown sequence.
training-loaded-sit-to-stand-first-use-warm-clara-gap0,training,loaded-sit-to-stand,clara,first_use_after_family_introduced,implementation_required_before_preview,0,1;2;3,ex-loaded-sit-to-stand-first-v21;final-position-set-v21;target-loaded-sit-to-stand-v21,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.;You're set.;Aim for eight reps.",3,9540,9540,9540,12540,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Family line omitted only when already introduced or absorbed.
training-loaded-sit-to-stand-first-use-warm-clara-gap100,training,loaded-sit-to-stand,clara,first_use_after_family_introduced,implementation_required_before_preview,100,1;2;3,ex-loaded-sit-to-stand-first-v21;final-position-set-v21;target-loaded-sit-to-stand-v21,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.;You're set.;Aim for eight reps.",3,9540,9740,9740,12740,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Family line omitted only when already introduced or absorbed.
training-loaded-sit-to-stand-first-use-warm-clara-gap250,training,loaded-sit-to-stand,clara,first_use_after_family_introduced,implementation_required_before_preview,250,1;2;3,ex-loaded-sit-to-stand-first-v21;final-position-set-v21;target-loaded-sit-to-stand-v21,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.;You're set.;Aim for eight reps.",3,9540,10040,10040,13040,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Family line omitted only when already introduced or absorbed.
training-loaded-sit-to-stand-first-use-warm-marcus-gap0,training,loaded-sit-to-stand,marcus,first_use_after_family_introduced,implementation_required_before_preview,0,1;2;3,ex-loaded-sit-to-stand-first-v21;final-position-set-v21;target-loaded-sit-to-stand-v21,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.;You're set.;Aim for eight reps.",3,9310,9310,9310,12310,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Family line omitted only when already introduced or absorbed.
training-loaded-sit-to-stand-first-use-warm-marcus-gap100,training,loaded-sit-to-stand,marcus,first_use_after_family_introduced,implementation_required_before_preview,100,1;2;3,ex-loaded-sit-to-stand-first-v21;final-position-set-v21;target-loaded-sit-to-stand-v21,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.;You're set.;Aim for eight reps.",3,9310,9510,9510,12510,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Family line omitted only when already introduced or absorbed.
training-loaded-sit-to-stand-first-use-warm-marcus-gap250,training,loaded-sit-to-stand,marcus,first_use_after_family_introduced,implementation_required_before_preview,250,1;2;3,ex-loaded-sit-to-stand-first-v21;final-position-set-v21;target-loaded-sit-to-stand-v21,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.;You're set.;Aim for eight reps.",3,9310,9810,9810,12810,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Family line omitted only when already introduced or absorbed.
training-loaded-sit-to-stand-later-set-clara-gap0,training,loaded-sit-to-stand,clara,later_set_same_side_context,implementation_required_before_preview,0,1;2,ex-loaded-sit-to-stand-next-v21;target-loaded-sit-to-stand-v21,Loaded sit-to-stand.;Aim for eight reps.,2,3720,3720,3720,6720,later_set_reminder,4000,6000,true,true,No total set count.
training-loaded-sit-to-stand-later-set-clara-gap100,training,loaded-sit-to-stand,clara,later_set_same_side_context,implementation_required_before_preview,100,1;2,ex-loaded-sit-to-stand-next-v21;target-loaded-sit-to-stand-v21,Loaded sit-to-stand.;Aim for eight reps.,2,3720,3820,3820,6820,later_set_reminder,4000,6000,true,true,No total set count.
training-loaded-sit-to-stand-later-set-clara-gap250,training,loaded-sit-to-stand,clara,later_set_same_side_context,implementation_required_before_preview,250,1;2,ex-loaded-sit-to-stand-next-v21;target-loaded-sit-to-stand-v21,Loaded sit-to-stand.;Aim for eight reps.,2,3720,3970,3970,6970,later_set_reminder,4000,6000,true,true,No total set count.
training-loaded-sit-to-stand-later-set-marcus-gap0,training,loaded-sit-to-stand,marcus,later_set_same_side_context,implementation_required_before_preview,0,1;2,ex-loaded-sit-to-stand-next-v21;target-loaded-sit-to-stand-v21,Loaded sit-to-stand.;Aim for eight reps.,2,3640,3640,3640,6640,later_set_reminder,4000,6000,true,true,No total set count.
training-loaded-sit-to-stand-later-set-marcus-gap100,training,loaded-sit-to-stand,marcus,later_set_same_side_context,implementation_required_before_preview,100,1;2,ex-loaded-sit-to-stand-next-v21;target-loaded-sit-to-stand-v21,Loaded sit-to-stand.;Aim for eight reps.,2,3640,3740,3740,6740,later_set_reminder,4000,6000,true,true,No total set count.
training-loaded-sit-to-stand-later-set-marcus-gap250,training,loaded-sit-to-stand,marcus,later_set_same_side_context,implementation_required_before_preview,250,1;2,ex-loaded-sit-to-stand-next-v21;target-loaded-sit-to-stand-v21,Loaded sit-to-stand.;Aim for eight reps.,2,3640,3890,3890,6890,later_set_reminder,4000,6000,true,true,No total set count.
training-loaded-sit-to-stand-side-change-clara-gap0,training,loaded-sit-to-stand,clara,side_change_path,implementation_required_before_preview,0,1,ex-loaded-sit-to-stand-next-v21,Loaded sit-to-stand.,1,1860,1860,1860,4860,later_set_reminder,4000,6000,true,true,Not side-specific.
training-loaded-sit-to-stand-side-change-clara-gap100,training,loaded-sit-to-stand,clara,side_change_path,implementation_required_before_preview,100,1,ex-loaded-sit-to-stand-next-v21,Loaded sit-to-stand.,1,1860,1860,1860,4860,later_set_reminder,4000,6000,true,true,Not side-specific.
training-loaded-sit-to-stand-side-change-clara-gap250,training,loaded-sit-to-stand,clara,side_change_path,implementation_required_before_preview,250,1,ex-loaded-sit-to-stand-next-v21,Loaded sit-to-stand.,1,1860,1860,1860,4860,later_set_reminder,4000,6000,true,true,Not side-specific.
training-loaded-sit-to-stand-side-change-marcus-gap0,training,loaded-sit-to-stand,marcus,side_change_path,implementation_required_before_preview,0,1,ex-loaded-sit-to-stand-next-v21,Loaded sit-to-stand.,1,1820,1820,1820,4820,later_set_reminder,4000,6000,true,true,Not side-specific.
training-loaded-sit-to-stand-side-change-marcus-gap100,training,loaded-sit-to-stand,marcus,side_change_path,implementation_required_before_preview,100,1,ex-loaded-sit-to-stand-next-v21,Loaded sit-to-stand.,1,1820,1820,1820,4820,later_set_reminder,4000,6000,true,true,Not side-specific.
training-loaded-sit-to-stand-side-change-marcus-gap250,training,loaded-sit-to-stand,marcus,side_change_path,implementation_required_before_preview,250,1,ex-loaded-sit-to-stand-next-v21,Loaded sit-to-stand.,1,1820,1820,1820,4820,later_set_reminder,4000,6000,true,true,Not side-specific.
training-loaded-sit-to-stand-repeat-clara-gap0,training,loaded-sit-to-stand,clara,repeat_instructions,implementation_required_before_preview,0,1;2,ex-loaded-sit-to-stand-first-v21;target-loaded-sit-to-stand-v21,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.;Aim for eight reps.",2,8400,8400,8400,11400,repeat_instructions,10000,14000,true,true,No set count.
training-loaded-sit-to-stand-repeat-clara-gap100,training,loaded-sit-to-stand,clara,repeat_instructions,implementation_required_before_preview,100,1;2,ex-loaded-sit-to-stand-first-v21;target-loaded-sit-to-stand-v21,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.;Aim for eight reps.",2,8400,8500,8500,11500,repeat_instructions,10000,14000,true,true,No set count.
training-loaded-sit-to-stand-repeat-clara-gap250,training,loaded-sit-to-stand,clara,repeat_instructions,implementation_required_before_preview,250,1;2,ex-loaded-sit-to-stand-first-v21;target-loaded-sit-to-stand-v21,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.;Aim for eight reps.",2,8400,8650,8650,11650,repeat_instructions,10000,14000,true,true,No set count.
training-loaded-sit-to-stand-repeat-marcus-gap0,training,loaded-sit-to-stand,marcus,repeat_instructions,implementation_required_before_preview,0,1;2,ex-loaded-sit-to-stand-first-v21;target-loaded-sit-to-stand-v21,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.;Aim for eight reps.",2,8190,8190,8190,11190,repeat_instructions,10000,14000,true,true,No set count.
training-loaded-sit-to-stand-repeat-marcus-gap100,training,loaded-sit-to-stand,marcus,repeat_instructions,implementation_required_before_preview,100,1;2,ex-loaded-sit-to-stand-first-v21;target-loaded-sit-to-stand-v21,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.;Aim for eight reps.",2,8190,8290,8290,11290,repeat_instructions,10000,14000,true,true,No set count.
training-loaded-sit-to-stand-repeat-marcus-gap250,training,loaded-sit-to-stand,marcus,repeat_instructions,implementation_required_before_preview,250,1;2,ex-loaded-sit-to-stand-first-v21;target-loaded-sit-to-stand-v21,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.;Aim for eight reps.",2,8190,8440,8440,11440,repeat_instructions,10000,14000,true,true,No set count.
training-loaded-sit-to-stand-tracking-recovery-clara-gap0,training,loaded-sit-to-stand,clara,tracking_loss_recovery,implementation_required_before_preview,0,1;2,tracking-loss-v21;tracking-recovered-v21,Pause. Return to the setup position.;You're back in position. We'll restart.,2,5160,5160,5160,8160,tracking_loss_recovery_sequence,6500,9000,true,true,Fresh countdown follows.
training-loaded-sit-to-stand-tracking-recovery-clara-gap100,training,loaded-sit-to-stand,clara,tracking_loss_recovery,implementation_required_before_preview,100,1;2,tracking-loss-v21;tracking-recovered-v21,Pause. Return to the setup position.;You're back in position. We'll restart.,2,5160,5260,5260,8260,tracking_loss_recovery_sequence,6500,9000,true,true,Fresh countdown follows.
training-loaded-sit-to-stand-tracking-recovery-clara-gap250,training,loaded-sit-to-stand,clara,tracking_loss_recovery,implementation_required_before_preview,250,1;2,tracking-loss-v21;tracking-recovered-v21,Pause. Return to the setup position.;You're back in position. We'll restart.,2,5160,5410,5410,8410,tracking_loss_recovery_sequence,6500,9000,true,true,Fresh countdown follows.
training-loaded-sit-to-stand-tracking-recovery-marcus-gap0,training,loaded-sit-to-stand,marcus,tracking_loss_recovery,implementation_required_before_preview,0,1;2,tracking-loss-v21;tracking-recovered-v21,Pause. Return to the setup position.;You're back in position. We'll restart.,2,5040,5040,5040,8040,tracking_loss_recovery_sequence,6500,9000,true,true,Fresh countdown follows.
training-loaded-sit-to-stand-tracking-recovery-marcus-gap100,training,loaded-sit-to-stand,marcus,tracking_loss_recovery,implementation_required_before_preview,100,1;2,tracking-loss-v21;tracking-recovered-v21,Pause. Return to the setup position.;You're back in position. We'll restart.,2,5040,5140,5140,8140,tracking_loss_recovery_sequence,6500,9000,true,true,Fresh countdown follows.
training-loaded-sit-to-stand-tracking-recovery-marcus-gap250,training,loaded-sit-to-stand,marcus,tracking_loss_recovery,implementation_required_before_preview,250,1;2,tracking-loss-v21;tracking-recovered-v21,Pause. Return to the setup position.;You're back in position. We'll restart.,2,5040,5290,5290,8290,tracking_loss_recovery_sequence,6500,9000,true,true,Fresh countdown follows.
training-loaded-sit-to-stand-pause-resume-clara-gap0,training,loaded-sit-to-stand,clara,pause_resume,ready_after_audio_generation,0,1;2,paused-v21;resuming-v21,Paused.;Resuming.,2,1800,1800,1800,4800,control_confirmation,2000,3500,true,true,Controls do not replay instructions.
training-loaded-sit-to-stand-pause-resume-clara-gap100,training,loaded-sit-to-stand,clara,pause_resume,ready_after_audio_generation,100,1;2,paused-v21;resuming-v21,Paused.;Resuming.,2,1800,1900,1900,4900,control_confirmation,2000,3500,true,true,Controls do not replay instructions.
training-loaded-sit-to-stand-pause-resume-clara-gap250,training,loaded-sit-to-stand,clara,pause_resume,ready_after_audio_generation,250,1;2,paused-v21;resuming-v21,Paused.;Resuming.,2,1800,2050,2050,5050,control_confirmation,2000,3500,false,true,Controls do not replay instructions.
training-loaded-sit-to-stand-pause-resume-marcus-gap0,training,loaded-sit-to-stand,marcus,pause_resume,ready_after_audio_generation,0,1;2,paused-v21;resuming-v21,Paused.;Resuming.,2,1800,1800,1800,4800,control_confirmation,2000,3500,true,true,Controls do not replay instructions.
training-loaded-sit-to-stand-pause-resume-marcus-gap100,training,loaded-sit-to-stand,marcus,pause_resume,ready_after_audio_generation,100,1;2,paused-v21;resuming-v21,Paused.;Resuming.,2,1800,1900,1900,4900,control_confirmation,2000,3500,true,true,Controls do not replay instructions.
training-loaded-sit-to-stand-pause-resume-marcus-gap250,training,loaded-sit-to-stand,marcus,pause_resume,ready_after_audio_generation,250,1;2,paused-v21;resuming-v21,Paused.;Resuming.,2,1800,2050,2050,5050,control_confirmation,2000,3500,false,true,Controls do not replay instructions.
training-mini-band-lateral-walk-first-use-cold-clara-gap0,training,mini-band-lateral-walk,clara,first_use_cold_equipment,implementation_required_before_preview,0,1;2;3,ex-mini-band-lateral-walk-first-v21;final-position-set-v21;target-mini-band-lateral-walk-v21,Mini-band lateral walk. Band above your knees. Take small controlled steps both directions.;You're set.;Move for thirty seconds.,3,8460,8460,8460,11460,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Actual pre-countdown sequence.
training-mini-band-lateral-walk-first-use-cold-clara-gap100,training,mini-band-lateral-walk,clara,first_use_cold_equipment,implementation_required_before_preview,100,1;2;3,ex-mini-band-lateral-walk-first-v21;final-position-set-v21;target-mini-band-lateral-walk-v21,Mini-band lateral walk. Band above your knees. Take small controlled steps both directions.;You're set.;Move for thirty seconds.,3,8460,8660,8660,11660,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Actual pre-countdown sequence.
training-mini-band-lateral-walk-first-use-cold-clara-gap250,training,mini-band-lateral-walk,clara,first_use_cold_equipment,implementation_required_before_preview,250,1;2;3,ex-mini-band-lateral-walk-first-v21;final-position-set-v21;target-mini-band-lateral-walk-v21,Mini-band lateral walk. Band above your knees. Take small controlled steps both directions.;You're set.;Move for thirty seconds.,3,8460,8960,8960,11960,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Actual pre-countdown sequence.
training-mini-band-lateral-walk-first-use-cold-marcus-gap0,training,mini-band-lateral-walk,marcus,first_use_cold_equipment,implementation_required_before_preview,0,1;2;3,ex-mini-band-lateral-walk-first-v21;final-position-set-v21;target-mini-band-lateral-walk-v21,Mini-band lateral walk. Band above your knees. Take small controlled steps both directions.;You're set.;Move for thirty seconds.,3,8260,8260,8260,11260,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Actual pre-countdown sequence.
training-mini-band-lateral-walk-first-use-cold-marcus-gap100,training,mini-band-lateral-walk,marcus,first_use_cold_equipment,implementation_required_before_preview,100,1;2;3,ex-mini-band-lateral-walk-first-v21;final-position-set-v21;target-mini-band-lateral-walk-v21,Mini-band lateral walk. Band above your knees. Take small controlled steps both directions.;You're set.;Move for thirty seconds.,3,8260,8460,8460,11460,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Actual pre-countdown sequence.
training-mini-band-lateral-walk-first-use-cold-marcus-gap250,training,mini-band-lateral-walk,marcus,first_use_cold_equipment,implementation_required_before_preview,250,1;2;3,ex-mini-band-lateral-walk-first-v21;final-position-set-v21;target-mini-band-lateral-walk-v21,Mini-band lateral walk. Band above your knees. Take small controlled steps both directions.;You're set.;Move for thirty seconds.,3,8260,8760,8760,11760,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Actual pre-countdown sequence.
training-mini-band-lateral-walk-first-use-warm-clara-gap0,training,mini-band-lateral-walk,clara,first_use_after_family_introduced,implementation_required_before_preview,0,1;2;3,ex-mini-band-lateral-walk-first-v21;final-position-set-v21;target-mini-band-lateral-walk-v21,Mini-band lateral walk. Band above your knees. Take small controlled steps both directions.;You're set.;Move for thirty seconds.,3,8460,8460,8460,11460,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Family line omitted only when already introduced or absorbed.
training-mini-band-lateral-walk-first-use-warm-clara-gap100,training,mini-band-lateral-walk,clara,first_use_after_family_introduced,implementation_required_before_preview,100,1;2;3,ex-mini-band-lateral-walk-first-v21;final-position-set-v21;target-mini-band-lateral-walk-v21,Mini-band lateral walk. Band above your knees. Take small controlled steps both directions.;You're set.;Move for thirty seconds.,3,8460,8660,8660,11660,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Family line omitted only when already introduced or absorbed.
training-mini-band-lateral-walk-first-use-warm-clara-gap250,training,mini-band-lateral-walk,clara,first_use_after_family_introduced,implementation_required_before_preview,250,1;2;3,ex-mini-band-lateral-walk-first-v21;final-position-set-v21;target-mini-band-lateral-walk-v21,Mini-band lateral walk. Band above your knees. Take small controlled steps both directions.;You're set.;Move for thirty seconds.,3,8460,8960,8960,11960,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Family line omitted only when already introduced or absorbed.
training-mini-band-lateral-walk-first-use-warm-marcus-gap0,training,mini-band-lateral-walk,marcus,first_use_after_family_introduced,implementation_required_before_preview,0,1;2;3,ex-mini-band-lateral-walk-first-v21;final-position-set-v21;target-mini-band-lateral-walk-v21,Mini-band lateral walk. Band above your knees. Take small controlled steps both directions.;You're set.;Move for thirty seconds.,3,8260,8260,8260,11260,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Family line omitted only when already introduced or absorbed.
training-mini-band-lateral-walk-first-use-warm-marcus-gap100,training,mini-band-lateral-walk,marcus,first_use_after_family_introduced,implementation_required_before_preview,100,1;2;3,ex-mini-band-lateral-walk-first-v21;final-position-set-v21;target-mini-band-lateral-walk-v21,Mini-band lateral walk. Band above your knees. Take small controlled steps both directions.;You're set.;Move for thirty seconds.,3,8260,8460,8460,11460,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Family line omitted only when already introduced or absorbed.
training-mini-band-lateral-walk-first-use-warm-marcus-gap250,training,mini-band-lateral-walk,marcus,first_use_after_family_introduced,implementation_required_before_preview,250,1;2;3,ex-mini-band-lateral-walk-first-v21;final-position-set-v21;target-mini-band-lateral-walk-v21,Mini-band lateral walk. Band above your knees. Take small controlled steps both directions.;You're set.;Move for thirty seconds.,3,8260,8760,8760,11760,complex_equipment_first_use_pre_countdown,16000,20000,true,true,Family line omitted only when already introduced or absorbed.
training-mini-band-lateral-walk-later-set-clara-gap0,training,mini-band-lateral-walk,clara,later_set_same_side_context,implementation_required_before_preview,0,1;2,ex-mini-band-lateral-walk-next-v21;target-mini-band-lateral-walk-v21,Mini-band lateral walk.;Move for thirty seconds.,2,3720,3720,3720,6720,later_set_reminder,4000,6000,true,true,No total set count.
training-mini-band-lateral-walk-later-set-clara-gap100,training,mini-band-lateral-walk,clara,later_set_same_side_context,implementation_required_before_preview,100,1;2,ex-mini-band-lateral-walk-next-v21;target-mini-band-lateral-walk-v21,Mini-band lateral walk.;Move for thirty seconds.,2,3720,3820,3820,6820,later_set_reminder,4000,6000,true,true,No total set count.
training-mini-band-lateral-walk-later-set-clara-gap250,training,mini-band-lateral-walk,clara,later_set_same_side_context,implementation_required_before_preview,250,1;2,ex-mini-band-lateral-walk-next-v21;target-mini-band-lateral-walk-v21,Mini-band lateral walk.;Move for thirty seconds.,2,3720,3970,3970,6970,later_set_reminder,4000,6000,true,true,No total set count.
training-mini-band-lateral-walk-later-set-marcus-gap0,training,mini-band-lateral-walk,marcus,later_set_same_side_context,implementation_required_before_preview,0,1;2,ex-mini-band-lateral-walk-next-v21;target-mini-band-lateral-walk-v21,Mini-band lateral walk.;Move for thirty seconds.,2,3640,3640,3640,6640,later_set_reminder,4000,6000,true,true,No total set count.
