newCueKey,action,oldCueKeys,flow,category,policyId,proposedNumericPriority,trigger,exactScript,isComposable,compositionRole,firstUseOrRepeat,blocksProgression,mayInterrupt,mayBeInterruptedBy,dropIfBusy,cancelOnStateExit,estimatedClaraMs,estimatedMarcusMs,targetMaxMs,hardMaxMs,wordCount,requiredForVoiceFirst,sourceContract,implementationPhase,humanReviewStatus,runtimeReadiness,implementationRequirementIds,legacyStatus,notes
ex-loaded-march-next-v21,new_asset,,training,later_set_reminder,instruction,60,,March in place.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,loaded-march,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
target-loaded-march-v21,new_composable_fragment,,training,target,instruction,60,,Aim for sixteen reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,loaded-march,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-loaded-sit-to-stand-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Loaded sit-to-stand. Hold the load close to your chest. Stand fully, then sit with control.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6540,6370,12000,16000,17,true,loaded-sit-to-stand,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-loaded-sit-to-stand-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Loaded sit-to-stand.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,loaded-sit-to-stand,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
target-loaded-sit-to-stand-v21,new_composable_fragment,,training,target,instruction,60,,Aim for eight reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,loaded-sit-to-stand,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-mini-band-lateral-walk-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,Mini-band lateral walk. Band above your knees. Take small controlled steps both directions.,false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5460,5320,12000,16000,14,true,mini-band-lateral-walk,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-mini-band-lateral-walk-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Mini-band lateral walk.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,mini-band-lateral-walk,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
target-mini-band-lateral-walk-v21,new_composable_fragment,,training,target,instruction,60,,Move for thirty seconds.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,mini-band-lateral-walk,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-neck-rotation-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Neck rotations. Face the phone, sit or stand tall, and slowly look over one shoulder, then the other.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6900,6720,12000,16000,18,true,neck-rotation,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
ex-neck-rotation-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Neck rotations.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1140,1120,4000,6000,2,true,neck-rotation,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
target-neck-rotation-v21,new_composable_fragment,,training,target,instruction,60,,Move slowly until I say stop.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,2580,2520,4000,6000,6,true,neck-rotation,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
ex-overhead-press-band-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Band overhead press. Stand tall with light band tension. Press overhead, then return slowly.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5460,5320,12000,16000,14,true,overhead-press-band,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-overhead-press-band-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Band overhead press.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,overhead-press-band,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
target-overhead-press-band-v21,new_composable_fragment,,training,target,instruction,60,,Aim for twelve reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,overhead-press-band,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-overhead-reach-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Overhead reach. Stand tall. Reach both arms overhead as far as comfortable, then lower.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5460,5320,12000,16000,14,true,overhead-reach,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
ex-overhead-reach-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Overhead reach.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1140,1120,4000,6000,2,true,overhead-reach,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
target-overhead-reach-v21,new_composable_fragment,,training,target,instruction,60,,Aim for twelve reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,overhead-reach,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
ex-push-up-incline-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Incline push-up. Hands on a stable counter or sturdy chair. Lower in with control, then press away.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6900,6720,12000,16000,18,true,push-up-incline,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-push-up-incline-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Incline push-up.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,push-up-incline,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
target-push-up-incline-v21,new_composable_fragment,,training,target,instruction,60,,Aim for ten reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,push-up-incline,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-push-up-standard-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Push-up. Start from the floor position. Lower with control, then press up.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5100,4970,12000,16000,13,true,push-up-standard,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-FLOOR-GATE;IR-VOICE-FINAL-POSITION-READINESS;IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-push-up-standard-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Push-up.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1140,1120,4000,6000,2,true,push-up-standard,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-FLOOR-GATE;IR-VOICE-FINAL-POSITION-READINESS;IR-VOICE-SAFETY-SUBSUMPTION,active,
target-push-up-standard-v21,new_composable_fragment,,training,target,instruction,60,,Aim for eight reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,push-up-standard,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-FLOOR-GATE;IR-VOICE-FINAL-POSITION-READINESS;IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-push-up-wall-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Wall push-up. Hands on the wall. Lower in with control, then press away.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5460,5320,12000,16000,14,true,push-up-wall,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-push-up-wall-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Wall push-up.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,push-up-wall,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
target-push-up-wall-v21,new_composable_fragment,,training,target,instruction,60,,Aim for ten reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,push-up-wall,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-seated-band-row-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Seated band row. Sit tall with the band anchored under both feet. Pull elbows back, then return slowly.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6900,6720,12000,16000,18,true,seated-band-row,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-seated-band-row-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Seated band row.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,seated-band-row,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
target-seated-band-row-v21,new_composable_fragment,,training,target,instruction,60,,Aim for ten reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,seated-band-row,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-seated-hamstring-reach-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,Seated hamstring reach. Sit tall at the chair edge.,false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,3660,3570,12000,16000,9,true,seated-hamstring-reach,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE;IR-VOICE-DOSE-CONVERSION;IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-seated-hamstring-reach-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Seated hamstring reach.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,seated-hamstring-reach,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE;IR-VOICE-DOSE-CONVERSION;IR-VOICE-SAFETY-SUBSUMPTION,active,
target-seated-hamstring-reach-v21,new_composable_fragment,,training,target,instruction,60,,Reach gently and hold until I say relax.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,3300,3220,4000,6000,8,true,seated-hamstring-reach,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE;IR-VOICE-DOSE-CONVERSION;IR-VOICE-SAFETY-SUBSUMPTION,active,
side-hamstring-left-extended-v21,new_asset,,training,side_instruction,instruction,60,,"Extend your left leg, heel on the floor.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,3300,3220,12000,16000,8,true,seated-hamstring-reach,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE,active,
side-hamstring-right-extended-v21,new_asset,,training,side_instruction,instruction,60,,"Extend your right leg, heel on the floor.",false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,3300,3220,12000,16000,8,true,seated-hamstring-reach,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE,active,
ex-squat-free-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Squat. Feet about hip width. Lower as if to sit, then stand with control.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5460,5320,12000,16000,14,true,squat-free,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
ex-squat-free-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Squat.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,900,900,4000,6000,1,true,squat-free,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
target-squat-free-v21,new_composable_fragment,,training,target,instruction,60,,Aim for twelve reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,squat-free,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
ex-squat-loaded-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Loaded squat. Hold the load close to your chest. Lower into a squat, then stand with control.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6540,6370,12000,16000,17,true,squat-loaded,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
ex-squat-loaded-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Loaded squat.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1140,1120,4000,6000,2,true,squat-loaded,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
target-squat-loaded-v21,new_composable_fragment,,training,target,instruction,60,,Aim for eight reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,squat-loaded,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
ex-squat-slow-eccentric-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Slow-lower squat. Lower slowly, then stand with control.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,3660,3570,12000,16000,9,true,squat-slow-eccentric,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
ex-squat-slow-eccentric-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Slow-lower squat.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,squat-slow-eccentric,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
target-squat-slow-eccentric-v21,new_composable_fragment,,training,target,instruction,60,,Aim for eight reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,squat-slow-eccentric,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
ex-squat-supported-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Supported squat. Stand near sturdy support. Lower as if to sit, then stand with control.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5820,5670,12000,16000,15,true,squat-supported,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-squat-supported-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Supported squat.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1140,1120,4000,6000,2,true,squat-supported,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
target-squat-supported-v21,new_composable_fragment,,training,target,instruction,60,,Aim for ten reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,squat-supported,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-standing-band-row-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Standing band row. Face the secure door anchor in a stable stance. Pull elbows back, then return slowly.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6900,6720,12000,16000,18,true,standing-band-row,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-standing-band-row-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Standing band row.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,standing-band-row,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
target-standing-band-row-v21,new_composable_fragment,,training,target,instruction,60,,Aim for ten reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,standing-band-row,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-step-up-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Step-up. Use the lowest stable step with support nearby. Alternate the leading leg each rep, returning both feet to the floor.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,8340,8120,12000,16000,22,true,step-up,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-STEP-ALTERNATION;IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-step-up-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Step-up. Alternate the leading leg each rep.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,3300,3220,4000,6000,8,true,step-up,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-STEP-ALTERNATION;IR-VOICE-SAFETY-SUBSUMPTION,active,
target-step-up-v21,new_composable_fragment,,training,target,instruction,60,,Do twelve total reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,step-up,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-STEP-ALTERNATION;IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-sts-cushion-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Cushion sit-to-stand. Sit tall on the cushion, feet flat. Stand fully, then sit with control.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6540,6370,12000,16000,17,true,sts-cushion,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-sts-cushion-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Cushion sit-to-stand.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,sts-cushion,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
target-sts-cushion-v21,new_composable_fragment,,training,target,instruction,60,,Aim for eight reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,sts-cushion,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-sts-power-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Power sit-to-stand. Sit tall, drive up briskly to standing, then sit with control.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5820,5670,12000,16000,15,true,sts-power,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-sts-power-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Power sit-to-stand.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,sts-power,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
target-sts-power-v21,new_composable_fragment,,training,target,instruction,60,,Aim for twelve reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,sts-power,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-sts-slow-eccentric-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Slow-lower sit-to-stand. Stand fully, then lower slowly and steadily before the next rep.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,6180,6020,12000,16000,16,true,sts-slow-eccentric,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-sts-slow-eccentric-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Slow-lower sit-to-stand.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,2220,2170,4000,6000,5,true,sts-slow-eccentric,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
target-sts-slow-eccentric-v21,new_composable_fragment,,training,target,instruction,60,,Aim for eight reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,sts-slow-eccentric,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-sts-standard-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Sit-to-stand. Sit tall in the middle of the chair, feet flat. Stand fully, then sit with control.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,7260,7070,12000,16000,19,true,sts-standard,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-sts-standard-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Sit-to-stand.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,sts-standard,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
target-sts-standard-v21,new_composable_fragment,,training,target,instruction,60,,Aim for ten reps.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,sts-standard,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-supported-hip-flexor-stretch-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,Supported hip-flexor stretch. Keep fingertips near support.,false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,3300,3220,12000,16000,8,true,supported-hip-flexor-stretch,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE;IR-VOICE-DOSE-CONVERSION;IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-supported-hip-flexor-stretch-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Supported hip-flexor stretch.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,supported-hip-flexor-stretch,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE;IR-VOICE-DOSE-CONVERSION;IR-VOICE-SAFETY-SUBSUMPTION,active,
target-supported-hip-flexor-stretch-v21,new_composable_fragment,,training,target,instruction,60,,Hold for [duration].,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,supported-hip-flexor-stretch,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE;IR-VOICE-DOSE-CONVERSION;IR-VOICE-SAFETY-SUBSUMPTION,active,
side-hip-flexor-left-forward-v21,new_asset,,training,side_instruction,instruction,60,,Step your left foot forward and shift gently into the stretch.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,4380,4270,12000,16000,11,true,supported-hip-flexor-stretch,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE,active,
side-hip-flexor-right-forward-v21,new_asset,,training,side_instruction,instruction,60,,Step your right foot forward and shift gently into the stretch.,false,whole_recording,shared,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,4380,4270,12000,16000,11,true,supported-hip-flexor-stretch,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE,active,
ex-supported-side-step-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Supported side step. Stand near a counter. Step to the side, bring the other foot in, and continue with control.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,7620,7420,12000,16000,20,true,supported-side-step,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-supported-side-step-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Supported side step.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,supported-side-step,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
target-supported-side-step-v21,new_composable_fragment,,training,target,instruction,60,,Move for thirty seconds.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,supported-side-step,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-thoracic-rotation-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Thoracic rotation. Sit or stand tall with arms crossed. Rotate one way, return to center, then rotate the other way.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,7620,7420,12000,16000,20,true,thoracic-rotation,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
ex-thoracic-rotation-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Thoracic rotation.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1140,1120,4000,6000,2,true,thoracic-rotation,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
target-thoracic-rotation-v21,new_composable_fragment,,training,target,instruction,60,,Move for thirty seconds.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,thoracic-rotation,v21_script_review,ready_for_human_review,ready_after_audio_generation,,active,
ex-toe-raise-supported-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,"Supported toe raise. Keep heels down, lift the front of your feet, then lower slowly.",false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,5820,5670,12000,16000,15,true,toe-raise-supported,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-toe-raise-supported-next-v21,new_asset,,training,later_set_reminder,instruction,60,,Supported toe raise.,false,whole_recording,later_set,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1500,1470,4000,6000,3,true,toe-raise-supported,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
target-toe-raise-supported-v21,new_composable_fragment,,training,target,instruction,60,,Move for thirty seconds.,true,target_fragment,target,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,1860,1820,4000,6000,4,true,toe-raise-supported,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-SAFETY-SUBSUMPTION,active,
ex-wall-calf-stretch-first-v21,new_asset,,training,exact_training_instruction,instruction,60,,Wall calf stretch. Hands on the wall.,false,whole_recording,first_use,true,low_reassurance,critical_stop;critical_window;result_transition,false,true,2940,2870,12000,16000,7,true,wall-calf-stretch,v21_script_review,ready_for_human_review,implementation_required_before_preview,IR-VOICE-ROUND-STATE;IR-VOICE-DOSE-CONVERSION;IR-VOICE-SAFETY-SUBSUMPTION,active,
