changeId,classification,pathOrKey,baselineValue,currentValue,gitState,commitEvidence,evidenceConfidence,currentRuntimeImpact,v21Impact,requiredAction,blocksProceeding,notes
CH-0075,unknown,docs/audits/PEARL_VOICE_CHANGE_LEDGER.csv,baseline committed state,?? current worktree state,untracked,current worktree; not committed,medium,No direct runtime impact identified in this audit.,NO_IMPACT,Review and either incorporate into the V2.1 baseline or separate from voice work.,false,
CH-0076,unknown,docs/audits/PEARL_VOICE_CURRENT_ASSET_INVENTORY.csv,baseline committed state,?? current worktree state,untracked,current worktree; not committed,medium,No direct runtime impact identified in this audit.,NO_IMPACT,Review and either incorporate into the V2.1 baseline or separate from voice work.,false,
CH-0077,unknown,docs/audits/PEARL_VOICE_CURRENT_STATE_RECONCILIATION.json,baseline committed state,?? current worktree state,untracked,current worktree; not committed,medium,No direct runtime impact identified in this audit.,NO_IMPACT,Review and either incorporate into the V2.1 baseline or separate from voice work.,false,
CH-0078,unknown,docs/audits/PEARL_VOICE_CURRENT_STATE_RECONCILIATION.md,baseline committed state,?? current worktree state,untracked,current worktree; not committed,medium,No direct runtime impact identified in this audit.,NO_IMPACT,Review and either incorporate into the V2.1 baseline or separate from voice work.,false,
CH-0079,unknown,docs/audits/PEARL_VOICE_CURRENT_STATE_RECONCILIATION_CODEX_PROMPT.md,baseline committed state,?? current worktree state,untracked,current worktree; not committed,medium,No direct runtime impact identified in this audit.,NO_IMPACT,Review and either incorporate into the V2.1 baseline or separate from voice work.,false,
CH-0080,unknown,docs/audits/PEARL_VOICE_SPEC_V2_1_APPROVED_DECISIONS_CODEX_PROMPT.md,baseline committed state,?? current worktree state,untracked,current worktree; not committed,medium,No direct runtime impact identified in this audit.,NO_IMPACT,Review and either incorporate into the V2.1 baseline or separate from voice work.,false,
CH-0081,unknown,docs/audits/PEARL_VOICE_V2_1_IMPACT_REPORT.md,baseline committed state,?? current worktree state,untracked,current worktree; not committed,medium,No direct runtime impact identified in this audit.,NO_IMPACT,Review and either incorporate into the V2.1 baseline or separate from voice work.,false,
CH-0082,documentation_only,docs/specs/PEARL_VOICE_APPROVED_DECISIONS_V2_1.md,baseline committed state,?? current worktree state,untracked,current worktree; not committed,medium,No direct runtime impact identified in this audit.,V2.1 planning baseline is untracked current state.,Review and either incorporate into the V2.1 baseline or separate from voice work.,true,
CH-0083,documentation_only,docs/specs/PEARL_VOICE_CLARA_PREVIEW_PACK_PLAN_V2_1.md,baseline committed state,?? current worktree state,untracked,current worktree; not committed,medium,No direct runtime impact identified in this audit.,V2.1 planning baseline is untracked current state.,Review and either incorporate into the V2.1 baseline or separate from voice work.,true,
CH-0084,documentation_only,docs/specs/PEARL_VOICE_COMPOSED_TIMELINES_V2_1.csv,baseline committed state,?? current worktree state,untracked,current worktree; not committed,medium,No direct runtime impact identified in this audit.,V2.1 planning baseline is untracked current state.,Review and either incorporate into the V2.1 baseline or separate from voice work.,true,
CH-0085,documentation_only,docs/specs/PEARL_VOICE_EXPERIENCE_SPEC_V2_1.json,baseline committed state,?? current worktree state,untracked,current worktree; not committed,medium,No direct runtime impact identified in this audit.,V2.1 planning baseline is untracked current state.,Review and either incorporate into the V2.1 baseline or separate from voice work.,true,
CH-0086,documentation_only,docs/specs/PEARL_VOICE_EXPERIENCE_SPEC_V2_1.md,baseline committed state,?? current worktree state,untracked,current worktree; not committed,medium,No direct runtime impact identified in this audit.,V2.1 planning baseline is untracked current state.,Review and either incorporate into the V2.1 baseline or separate from voice work.,true,
CH-0087,documentation_only,docs/specs/PEARL_VOICE_SCRIPT_MANIFEST_V2_1.csv,baseline committed state,?? current worktree state,untracked,current worktree; not committed,medium,No direct runtime impact identified in this audit.,V2.1 planning baseline is untracked current state.,Review and either incorporate into the V2.1 baseline or separate from voice work.,true,
CH-0088,documentation_only,docs/specs/PEARL_VOICE_SCRIPT_REVIEW_V2_1.md,baseline committed state,?? current worktree state,untracked,current worktree; not committed,medium,No direct runtime impact identified in this audit.,V2.1 planning baseline is untracked current state.,Review and either incorporate into the V2.1 baseline or separate from voice work.,true,
CH-0089,unknown,scripts/audits/reconcile-voice-current-state.mjs,baseline committed state,?? current worktree state,untracked,current worktree; not committed,medium,No direct runtime impact identified in this audit.,NO_IMPACT,Review and either incorporate into the V2.1 baseline or separate from voice work.,false,
CH-0090,source_script_added,src/audio/__tests__/movementProfileV2Audio.test.ts,baseline committed state,?? current worktree state,untracked,current worktree; not committed,medium,Asset mapping/provenance changed.,SPEC_REVIEW_UPDATE,Review and either incorporate into the V2.1 baseline or separate from voice work.,true,
CH-0091,source_script_added,src/audio/movementProfileV2Audio.ts,baseline committed state,?? current worktree state,untracked,current worktree; not committed,medium,Asset mapping/provenance changed.,SPEC_REVIEW_UPDATE,Review and either incorporate into the V2.1 baseline or separate from voice work.,true,
CH-0092,source_script_added,src/audio/movementProfileV2AudioManifest.ts,baseline committed state,?? current worktree state,untracked,current worktree; not committed,medium,Asset mapping/provenance changed.,SPEC_REVIEW_UPDATE,Review and either incorporate into the V2.1 baseline or separate from voice work.,true,
CH-0093,assessment_protocol_changed,src/screens/MovementProfileV2RecoveryScreen.tsx,baseline committed state,?? current worktree state,untracked,current worktree; not committed,medium,No direct runtime impact identified in this audit.,SPEC_REVIEW_UPDATE,Review and either incorporate into the V2.1 baseline or separate from voice work.,true,
CH-0094,source_script_changed,tug-intro,Up and go. Use the custom beta setup for this walking check.,already_exists_binary_but_content_unverified,current,scripts/generate-audio.ts,medium,V2.1 key overlaps current source or binary without exact reviewed-script certainty.,SCRIPT_REVIEW_UPDATE,Reconcile exact script before generation or preview reuse.,true,
CH-0095,source_script_changed,tug-setup,"When I say go, stand, walk the marked path, turn, walk back, and sit.",already_exists_binary_but_content_unverified,current,scripts/generate-audio.ts,medium,V2.1 key overlaps current source or binary without exact reviewed-script certainty.,SCRIPT_REVIEW_UPDATE,Reconcile exact script before generation or preview reuse.,true,
